"","X.1","X","id","tract","geo.id","sq.miles","area","median.income","total.income","income.quantile","total.pop","white.pop","white.ratio","bmp.installations","bmp.per.pop","bmp.per.sqmi","volume","impervious"
"61",61,61,61,6801,11001006801,0.09442962,244571.592741545,51207.5,76178458,3,2143,847,0.395240317312179,30,0.0158478605388273,317.696926028083,17301.51,NA
"62",62,62,62,6802,11001006802,0.10911804,282614.430575733,63716,96128685,3,2922,866,0.29637234770705,35,0.0172498767865944,320.753561922483,14531.5,NA
"63",63,63,63,6804,11001006804,0.78112045,2023092.67337275,15698,1403283,1,2087,793,0.379971250598946,24,0.00672834314550042,30.7250949581463,9468.33,NA
"64",64,64,64,6900,11001006900,0.15840232,410260.129910805,79464.5,117789037,4,2690,1330,0.494423791821561,32,0.0150872230080151,202.017243181792,31052.84,NA
"65",65,65,65,7000,11001007000,0.16230789,420375.507392908,74503,113568529,4,1955,1259,0.643989769820972,20,0.00727802037845706,123.222598728873,4638.44,NA
"66",66,66,66,7100,11001007100,0.28235662,731300.275476049,44333,90074658,3,6021,3225,0.535625311410065,37,0.0131813323833274,131.039959325197,5219.62,NA
"67",67,67,67,600,11001000600,0.55705167,1442757.20675772,81528.5,413850238,4,6077,4398,0.723712358071417,66,0.0150170648464164,118.480930144236,11015.84,NA
"68",68,68,68,701,11001000701,0.21228371,549812.287648554,68775,265927884,4,5051,4121,0.815878043951693,15,0.00333185250999556,70.6601556944713,1070.23,NA
"69",69,69,69,702,11001000702,0.11308412,292886.528546715,56357.5,121237434,3,6671,5135,0.769749662719233,8,0.00245474071801166,70.743796741753,9714.7,NA
"70",70,70,70,801,11001000801,1.18764863,3075995.83756508,94346,429046240,4,6756,5107,0.755920663114269,112,0.0171621207477781,94.3039861882382,3173.77,NA
"71",71,71,71,802,11001000802,0.87975675,2278559.52143544,78663,240968712,4,2830,1806,0.638162544169611,90,0.0324324324324324,102.30100536313,22046.75,NA
"72",72,72,72,901,11001000901,1.16931895,3028522.18062107,138978.5,443181730,4,2998,1712,0.57104736490994,187,0.0269219694788367,159.922149555517,21289.47,NA
"73",73,73,73,1803,11001001803,0.45183515,1170247.66299615,26235,76833849,1,33,7,0.212121212121212,9,0.00264628050573361,19.9187690466313,168315.72,NA
"74",74,74,74,1804,11001001804,0.23232488,601718.669088252,26535.5,101095037,1,2139,142,0.0663861617578308,51,0.0118329466357309,219.520182255125,9678.41,NA
"75",75,75,75,1901,11001001901,0.29693939,769069.481664375,37420,96561062,2,1909,1718,0.899947616553169,79,0.0203241574479033,266.047559402611,4124.27,NA
"76",76,76,76,902,11001000902,0.84187806,2180454.16569644,113487,176273097,4,3775,3077,0.815099337748344,127,0.0628401781296388,150.853200759264,4.69,NA
"77",77,77,77,3301,11001003301,0.16973472,439610.90178309,52263,118997087,3,1949,647,0.331965110312981,28,0.00911458333333333,164.963302734997,1484,NA
"78",78,78,78,3302,11001003302,0.07668336,198608.997138154,51120,82445643.83,3,2084,937,0.449616122840691,18,0.00876338851022395,234.731498463291,3310.13,NA
"79",79,79,79,8804,11001008804,0.3039147,787135.451864149,25106.5,32464257.52,1,3670,187,0.0509536784741144,24,0.0101052631578947,78.9695266467861,116577.62,NA
